Scientific_Name	Common_Name
Grus paradisea	blue crane
Symphysodon aequifasciata	blue discus
Girella cyanea	blue drummer
Philantomba monticola	Blue duiker
Crossoptilon auritum	blue eared-pheasant
Crossorhombus azureus	blue flounder
Chromis viridis	blue green damselfish
Macruronus novaezelandiae	blue grenadier
Claravis pretiosa	blue ground-dove
Dendragapus obscurus	blue grouse
Ptereleotris microlepis	blue gudgeon
Hypoplectrus gemma	blue hamlet
Ptereleotris hanae	blue hana goby
Ptilorrhoa caerulescens	blue jewel-babbler
Sargocentron tiere	blue lined squirrelfish
Molva dypterygia	blue ling
Fundulopanchax gardneri	blue lyretail
Scomber australasicus	blue mackerel
Urocissa erythroryncha	blue magpie
Scorpis violacea	blue maomao
Cercopithecus mitis	blue monkey
Aplocheilus panchax	blue panchax
Neoraja caerulea	blue ray
Caranx crysos	blue runner
Kyphosus cinerascens	blue seachub
Prionace glauca	blue shark
Dipturus batis	blue skate
Cycleptus elongatus	blue sucker
Carangoides ferdau	blue trevally
Centropyge deborae	blue velvet angelfish
Haletta semifasciata	blue weed whiting
Balaenoptera musculus	Blue whale
Micromesistius poutassou	blue whiting
Ara ararauna	blue-and-yellow macaw
Scarus ghobban	blue-barred parrotfish
Oxymetopon cyanoctenosum	blue-barred ribbon goby
Oxyura australis	blue-billed duck
Ameerega pulchripecta	blue-breasted poison frog
Kyphosus analogus	blue-bronze sea chub
Ifrita kowaldi	blue-capped ifrita
Lepidothrix coronata	blue-crowned manakin
Momotus momota	Blue-crowned motmot
Thectocercus acuticaudatus	Blue-crowned parakeet
Blenniella paula	blue-dashed rockskipper
Blenniella periophthalmus	blue-dashed rockskipper
Amazona aestiva	blue-fronted amazon
Amazilia rondoniae	blue-fronted emerald
Phoenicurus frontalis	blue-fronted redstart
Thraupis episcopus	blue-gray tanager
Primolius couloni	blue-headed macaw
Gymnocranius grandoculis	blue-lined large-eye bream
Agalychnis annae	blue-sided leaf frog
Silvascincus murrayi	blue-speckled forest-skink
Chrysiptera oxycephala	blue-spot demoiselle
Gymnocranius microdon	blue-spotted large-eye bream
Boleophthalmus boddarti	blue-spotted mudskipper
Hippichthys cyanospilos	blue-spotted pipefish
Ambystoma laterale	blue-spotted salamander
Siganus corallinus	blue-spotted spinefoot
Smilisca cyanosticta	blue-spotted treefrog
Trimma tevegae	blue-striped cave goby
Cynops cyanurus	blue-tailed fire-bellied newt
Emoia cyanura	blue-tailed skink
Ranoidea raniformis	blue-thighed treefrog
Merops viridis	blue-throated bee-eater
Ara glaucogularis	Blue-throated macaw
Pipile cumanensis	blue-throated piping guan
Notolabrus tetricus	blue-throated wrasse
Cyanochen cyanoptera	blue-winged goose
Trochalopteron squamatum	blue-winged laughingthrush
Primolius maracana	blue-winged macaw
Siva cyanouroptera	blue-winged minla
Alosa aestivalis	blueback shad
Valenciennea strigata	blueband goby
Plectobranchus evides	bluebarred prickleback
Elassoma okatie	bluebarred pygmy sunfish
Andinobates minutus	bluebelly poison frog
Chaetodon plebeius	blueblotch butterflyfish
Etheostoma camurum	bluebreast darter
Chaetodon semilarvatus	bluecheek butterflyfish
Psenes pellucidus	bluefin driftfish
Chelidonichthys kumu	bluefin gurnard
Nothobranchius rachovii	bluefin notho
Caranx melampygus	bluefin trevally
Odax cyanoallix	bluefinned butterfish
Lepomis macrochirus	bluegill
Thalassoma bifasciatum	bluehead
Nocomis leptocephalus	bluehead chub
Pteronotropis hubbsi	bluehead shiner
Catostomus discobolus	bluehead sucker
Chaetodon bennetti	bluelashed butterflyfish
Pseudochromis cyanotaenia	bluelined dottyback
Acanthurus nubilus	bluelined surgeon
Stethojulis albovittata	bluelined wrasse
Cryptotomus roseus	bluelip parrotfish
Etheostoma jessiae	blueside darter
Cirrhilabrus cyanopleura	blueside wrasse
Naso unicornis	bluespine unicornfish
Pomacentrus grammorhynchus	bluespot damsel
Moolgarda seheli	bluespot mullet
Ostracion immaculatus	bluespotted boxfish
Fistularia commersonii	bluespotted cornetfish
Taeniura lymma	bluespotted ribbontail ray
Pagrus caeruleostictus	bluespotted sunbreak
Caranx bucculentus	bluespotted trevally
Balistes punctatus	bluespotted triggerfish
Anampses caeruleopunctatus	bluespotted wrasse
Labroides dimidiatus	bluestreak cleaner wrasse
Neoglyphidodon oxyodon	bluestreak damselfish
Herklotsichthys quadrimaculatus	bluestripe herring
Doryrhamphus excisus	bluestripe pipefish
Cyprinella callitaenia	bluestripe shiner
Chaetodontoplus septentrionalis	bluestriped angelfish
Chaetodon fremblii	bluestriped butterflyfish
Plagiotremus rhinorhynchos	bluestriped fangblenny
Crenimugil buchanani	bluetail mullet
Sufflamen albicaudatum	bluethroat triggerfish
Trematomus eulepidotus	blunt scalyhead
Thalassoma amblycephalum	blunt-headed wrasse
Gouania willdenowi	blunt-snouted clingfish
Tropheus moorii	blunthead cichlid
Sphoeroides pachygaster	blunthead puffer
Etheostoma chlorosomum	bluntnose darter
Nezumia longebarbata	bluntnose grenadier
Pimephales notatus	bluntnose minnow
Xenodermichthys copei	bluntnose smooth-head
Potamothrissa obtusirostris	bluntnosed sawtooth pellonuline
Myctophum obtusirostre	bluntsnout lanternfish
Etmopterus bigelowi	blurred smooth lantern shark
Syncrossus berdmorei	Blyth's loach
Suthora nipalensis	Blyth's parrotbill
Capros aper	boarfish
Cochlearius cochlearius	boat-billed heron
Craugastor punctariolus	Bob's robber frog
Lynx rufus	bobcat
Pseudotolithus elongatus	bobo croaker
Joturus pichardi	bobo mullet
Dolichonyx oryzivorus	bobolink
Cyema atrum	bobtail snipe eel
Sebastes paucispinis	bocaccio
Phantasmarana boticariana	Bocaina big-tooth frog
Physalaemus barrioi	Bocaina dwarf frog
Allobates humilis	Bocono rocket frog
Incilius bocourti	Bocourt's toad
Melanotaenia boesemani	Boeseman's rainbowfish
Okamejei boesemani	Boeseman's skate
Scinax boesemani	Boeseman's snouted treefrog
Salvelinus boganidae	Boganida char
Pristimantis bogotensis	Bogota robber frog
Hyloxalus subpunctatus	Bogota rocket frog
Gongylomorphus bojerii	Bojer's skink
Physalaemus bokermanni	Bokermann's dwarf frog
Crossodactylodes bokermanni	Bokermann's stream froglet
Dendropsophus bokermanni	Bokermann's Tarauaca treefrog
Vitreorana gorzulae	Bolivar giant glass frog
Pristimantis orcesi	Bolivar robber frog
Dactylomys boliviensis	Bolivian bamboo rat
Oreopsar bolivianus	Bolivian blackbird
Nymphargus bejaranoi	Bolivian cochran frog
Sciurus ignitus	Bolivian squirrel
Saimiri boliviensis	Bolivian squirrel monkey
Plecturocebus donacophilus	Bolivian titi
Ctenomys boliviensis	Bolivian tuco-tuco
Leptodactylus bolivianus	Bolivian white-lipped frog
Coelorinchus bollonsi	Bollons' rattail
Rhinella dapsilis	Bom Jardim toad
Harpadon nehereus	Bombay duck fish
Bombina variegata	Bombina variegata scabra
Bombina variegata	Bombina variegata variegata
Ethmalosa fimbriata	Bonga shad
Tragelaphus eurycerus	bongo
Polypedates otilophus	Bongon whipping frog
Macaca radiata	bonnet macaque
Sphyrna tiburo	bonnethead
Ingerophrynus galeatus	bony-headed toad
Gila elegans	bonytail
Bettongia lesueur	boodie
Sufflamen bursa	boomerang triggerfish
Sahona	Boophis tephraeomystax
Ranoidea booroolongensis	Booroolong frog
Silverstoneia nubicola	Boquete rocket frog
Cycloramphus boraceiensis	Boraceia button frog
Hylodes phyllodes	Boraceia tree toad
Siphateles boraxobius	Borax Lake chub
Pseudacris maculata	boreal chorus frog
Aegolius funereus	boreal owl
Anaxyrus boreas	boreal toad
Callosciurus orestes	Bornean black-banded squirrel
Dremomys everetti	Bornean mountain ground squirrel
Pongo pygmaeus	Bornean orangutan
Nycticebus menagensis	Bornean slow loris
Rhacophorus borneensis	Bornean smaller gliding frog
Dendrogale melanura	Bornean smooth-tailed tree shrew
Hylobates albibarbis	Bornean white-bearded gibbon
Muntiacus atherodes	Bornean yellow muntjac
Sinobatis borneensis	Borneo leg skate
Glyphis fowlerae	Borneo river shark
Clupeoides borneensis	Borneo river sprat
Staurois tuberilinguis	Borneo splash frog
Metaphrynella sundana	Borneo treefrog
Bos javanicus	Bos javanicus lowi
Laephotis botswanae	Botswanan long-eared bat
Rostroraja alba	bottlenosed skate
Bathyraja bergi	bottom skate
Xenopus pygmaeus	Bouchia clawed frog
Anodonthyla boulengerii	Boulenger's climbing frog
Plethodontohyla inguinalis	Boulenger's digging frog
Cophyla grandis	Boulenger's giant treefrog
Trachylepis boulengeri	Boulenger's mabuya
Hyloxalus vertebralis	Boulenger's rocket frog
Scinax boulengeri	Boulenger's snouted treefrog
Cuora bourreti	Bourret's box turtle
Inia geoffrensis	boutu
Chlorurus bowersi	Bower's parrotfish
Amia calva	bowfin
Balaena mysticetus	bowhead whale
Neoglyphidodon melas	bowtie damselfish
Oedalechilus labeo	boxlip mullet
Brachymystax lenok	Brachymystax lenok tsinlingensis
Pomacentrus taeniometopon	brackish damsel
Niviventer brahma	Brahman Niviventer
Fringilla montifringilla	brambling
Myotis brandtii	Brandt's bat
Paraechinus hypomelas	Brandt's hedgehog
Lasiopodomys brandtii	Brandt's vole
Branta nigricans	Branta nigricans orientalis
Parotomys brantsii	Brants's whistling rat
Kyphosus vaigiensis	brassy chub
Physalaemus lisei	Braun's dwarf frog
Dekeyseria pulchra	Brazil-butterfly
Adelphobates castaneoticus	Brazil-nut poison frog
Dasyprocta leporina	Brazilian agouti
Stegastes fuscus	Brazilian damsel
Tadarida brasiliensis	Brazilian free-tailed bat
Gracilinanus microtarsus	Brazilian gracile mouse opossum
Cavia aperea	Brazilian guinea pig
Ceratophrys aurita	Brazilian horned frog
Ranitomeya vanzolinii	Brazilian poison frog
Aplastodiscus flumineus	Brazilian river treefrog
Osteocephalus subtilis	Brazilian slender-legged treefrog
Tapirus terrestris	Brazilian tapir
Crypturellus strigulosus	brazilian tinamou
Boana lundii	Brazilian treefrog
Halichoeres brasiliensis	Brazilian wrasse
Chilotilapia rhoadesii	bream
Salarias guttatus	breast-spot blenny
Euphagus cyanocephalus	Brewer's blackbird
Priolepis inhaca	brick goby
Myripristis amaena	brick soldierfish
Theloderma lateriticum	brick-red bug-eyed frog
Litoria nigrofrenata	bridle frog
Chilomycterus antennatus	bridled burrfish
Pristiapogon fraenatus	bridled cardinalfish
Stenella attenuata	bridled dolphin
Epinephelus heniochus	bridled grouper
Onychogalea fraenata	bridled nail-tailed wallaby
Scarus frenatus	bridled parrotfish
Plectroglyphidodon imparipennis	brighteye damselfish
Eumegistus illustris	brilliant pomfret
Allobates femoralis	brilliant-thighed poison frog
Pseudacris brimleyi	Brimley's chorus frog
Notropis bifrenatus	brindle shiner
Connochaetes taurinus	brindled gnu
Cyclothone alba	bristlemouth
Ctenochaetus tominiensis	bristletooth tomini tang
Trachonurus sulcatus	bristly grenadier
Paralichthys squamilentus	broad flounder
Coregonus nasus	broad whitefish
Gobiodon histrio	broad-barred goby
Sapayoa aenigma	broad-billed sapayoa
Hylarana latouchii	broad-folded frog
Craugastor laticeps	broad-headed rainfrog
Clyomys laticeps	broad-headed spiny rat
Syngnathus typhle	broad-nosed pipefish
Litoria latopalmata	broad-palmed frog
Zosterops poliogastrus	broad-ringed white-eye
Caiman latirostris	Broad-snouted caiman
Vidua obtusa	broad-tailed paradise-whydah
Acanthiza apicalis	broad-tailed thornbill
Apodemus mystacinus	broad-toothed field mouse
Buteo platypterus	broad-winged hawk
Ostorhinchus fasciatus	broadband cardinalfish
Hapalogenys analis	broadbanded velvetchin
Pterois antennata	broadbarred firefish
Scomberomorus semifasciatus	broadbarred king mackerel
Crossorhombus valderostratus	broadbrow flounder
Nannobrachium ritteri	broadfin lampfish
Galeus nipponensis	broadfin sawtail catshark
Lamiopsis temminckii	broadfin shark
Sunagocia arenicola	broadhead flathead
Eleotris melanosoma	broadhead sleeper
Notorynchus cepedianus	broadnose sevengill shark
Pteronotropis euryzonus	broadstripe shiner
Ostorhinchus angustatus	broadstriped cardinalfish
Vampyressa brocki	Brock's yellow-eared bat
Lampanyctus jordani	brokenline lanternfish
Antigone rubicunda	Brolga
Pristimantis bromeliaceus	bromeliad robber frog
Bromeliohyla bromeliacia	bromeliad treefrog
Netuma bilineata	bronze catfish
Corydoras aeneus	bronze corydoras
Notopterus notopterus	bronze featherback
Lithobates clamitans	bronze frog
Eutropis macularia	bronze grass skink
Auriglobus modestus	bronze puffer
Dasyurus spartacus	bronze quoll
Arielulus circumdatus	Bronze sprite
Murina aenea	Bronze tube-nosed bat
Molothrus aeneus	bronzed cowbird
Etheostoma burri	brook darter
Labidesthes sicculus	brook silverside
Culaea inconstans	brook stickleback
Salvelinus fontinalis	brook trout
Sundasciurus brookei	Brooke's squirrel
Amanses scopas	broom filefish
Thysanactis dentex	broomfin dragonfish
Cheilinus lunulatus	broomtail wrasse
Prunella fulvescens	Brown accentor
Antechinus stuartii	brown antechinus
Turdoides plebejus	brown babbler
Aubria subsigillata	brown ball frog
Chaetodon modestus	brown banded butterflyfish
Ursus arctos	brown bear
Plecotus auritus	brown big-eared bat
Ameiurus nebulosus	brown bullhead
Apristurus brunneus	brown cat shark
Chromis multilineata	brown chromis
Kyphosus bigibbus	brown chub
Atrosalarias holomelas	brown coral blenny
Amaurornis akool	brown crake
Etheostoma edwini	brown darter
Peromyscus megalops	brown deer mouse
Cynomops paranus	brown dog-faced bat
Pseudochromis fuscus	brown dottyback
Crossoptilon mantchuricum	brown eared-pheasant
Ctenophryne geayi	brown egg frog
Metachirus nudicaudatus	brown four-eyed opossum
Artibeus concolor	brown fruit-eating bat
Galaxias fuscus	brown galaxias
Gerygone mouki	brown gerygone
Lepus capensis	brown hare
Hemilepidotus spinosus	brown Irish lord
Etmopterus compagnoi	brown lanternshark
Etmopterus unicolor	brown lanternshark
Eulemur fulvus	brown lemur
Neolissochilus hexastichus	brown mahseer
Gymnothorax unicolor	brown moray
Microcebus rufus	brown mouse lemur
Neomyxus leuciscus	brown mullet
Microhyla annectens	brown narrow-mouthed frog
Nannostomus eques	brown pencilfish
Uperodon obscurus	brown pug-snout frog
Coturnix australis	brown quail
Raja miraletus	brown ray
Mesitornis unicolor	brown roatelo
Sebastes auriculatus	brown rockfish
Gymnothorax fuscomaculatus	brown spotted moray
Acanthurus nigrofuscus	brown surgeonfish
Uroderma magnirostrum	brown tent-making bat
Acanthiza pusilla	brown thornbill
Pseudophryne bibronii	brown toadlet
Climacteris picumnus	brown treecreeper
Murina suilla	Brown tube-nosed bat
Lagothrix lagotricha	brown woolly monkey
Labrus merula	brown wrasse
Hemitaurichthys zoster	brown-and-white butterflyfish
Pseudoleistes virescens	brown-and-yellow marshbird
Odorrana swinhoana	brown-backed odorous frog
Lagocephalus gloveri	brown-backed toadfish
Lagocephalus wheeleri	brown-backed toadfish
Sirembo jerdoni	brown-banded cusk-eel
Eviota latifasciata	brown-banded dwarfgoby
Corythoichthys amplexus	brown-banded pipefish
Hypsipetes amaurotis	brown-eared bulbul
Nyctimantis rugiceps	brown-eyed treefrog
Chroicocephalus brunnicephalus	Brown-headed gull
Ateles fusciceps	brown-headed spider monkey
Chroicocephalus maculipennis	brown-hooded gull
Canthigaster rivulata	brown-lined puffer
Epinephelus fuscoguttatus	brown-marbled grouper
Corvus ruficollis	brown-necked raven
Physalaemus marmoratus	brown-spotted dwarf frog
Ranoidea genimaculata	brown-spotted treefrog
Salanoia concolor	brown-tailed mongoose
Eupsittula pertinax	brown-throated parakeet
Bradypus variegatus	Brown-throated sloth
Platysteira cyanea	brown-throated wattle-eye
Carangoides praeustus	brownback trevally
Plectranthias nanus	brownband perchlet
Chiloscyllium punctatum	brownbanded bambooshark
Phyllomedusa tarsius	brownbelly leaf frog
Bathygobius laddi	brownboy goby
Acanthemblemaria crockeri	browncheek blenny
Okamejei schmidti	browneye skate
Bembrops curvatura	brownspotted flathead
Epinephelus chlorostigma	brownspotted grouper
Lutjanus vitta	brownstripe red snapper
Nyctimantis brunoi	Bruno's casque-headed frog
Gerbillurus vallinus	brush-tailed hairy-footed gerbil
Phascogale tapoatafa	brush-tailed phascogale
Saurida undosquamis	brushtooth lizardfish
Balaenoptera brydei	Bryde's whale
Halichoeres nigrescens	bubblefin wrasse
Phrynobatrachus bullans	bubbling puddle frog
Auchenoglanis occidentalis	bubu
Encrasicholina punctifer	buccaneer anchovy
Gobius bucchichi	Bucchich's goby
Buceros rhinoceros	Buceros rhinoceros silvestris
Centrolene buckleyi	Buckley's giant glass frog
Pristimantis buckleyi	Buckley's robber frog
Osteocephalus buckleyi	Buckley's slender-legged treefrog
Exodon paradoxus	bucktooth tetra
Melopsittacus undulatus	budgerigar
Lepidobatrachus laevis	Budgett's frog
Budorcas taxicolor	Budorcas taxicolor bedfordi
Budorcas taxicolor	Budorcas taxicolor taxicolor
Budorcas taxicolor	Budorcas taxicolor tibetana
Arthroleptis variabilis	Buea screeching frog
Pristimantis buenaventura	Buenaventura rainfrog
Buergeria buergeri	Buerger's frog
Epomops buettikoferi	Buettikofer's epauletted fruit bat
Gallirallus philippensis	buff-banded rail
Thylamys venustus	Buff-bellied fat-tailed mouse oppossum
Calidris subruficollis	buff-breasted sandpiper
Pellorneum tickelli	buff-breatsed babbler
Meiglyptes tukki	buff-necked woodpecker
Acanthiza reguloides	buff-rumped thornbill
Microspingus lateralis	Buff-throated warbling-finch
Enophrys bison	buffalo sculpin
Bucephala albeola	bufflehead
Zenarchopterus buffonis	Buffon's river-garfish
Bufo gargarizans	Bufo gargarizans andrewsi
Bufo gargarizans	Bufo gargarizans minshanicus
Bufo gargarizans	Bufo gargarizans miyakonis
Bufo japonicus	Bufo japonicus formosus
Bufo japonicus	Bufo japonicus montanus
Bufo japonicus	Bufo japonicus yakushimensis
Amsichthys knighti	bugeye dottyback
Luciobarbus capito	Bulatmai barbel
Bulbonaricus	Bulbonaricus brucei
Oneirodes bulbosus	bulbous dreamer
Carcharhinus leucas	bull shark
Salvelinus confluentus	bull trout
Xenocephalus elongatus	bulldog stargazer
Pappogeomys bulleri	Buller's pocket gopher
Cottus gobio	bullhead
Pimephales vigilax	bullhead minnow
Myliobatis freminvillei	bullnose eagle ray
Icterus bullockii	Bullock's oriole
Apogonichthyoides nigripinnis	bullseye
Bathygadus macrops	bullseye grenadier
Sphoeroides annulatus	bullseye puffer
Trimma tauroculum	bullseye pygmy goby
Aproteles bulmerae	Bulmer's fruit bat
Leptodactylus ventrimaculatus	Bulun white-lipped frog
Lophura bulweri	Bulwer's pheasant
Brachygobius xanthomelas	bumblebee goby
Pseudotropheus crabro	bumblebee mouthbrooder
Carangoides hedlandensis	bumpnose trevally
Litoria inermis	bumpy rocketfrog
Limnonectes parvus	Bunawan wart frog
Lota lota	burbot
Chaetodon burgessi	Burgess' butterflyfish
Leptodactylus syphax	burgundy thin-toed frog
Phocoena spinipinnis	Burmeister's porpoise
Boana prasina	Burmeister's treefrog
Lissemys scutata	Burmese flap-shelled turtle
Megophrys carinense	Burmese horned frog
Tariqilabeo burmanicus	Burmese latia
Sicamugil hamiltonii	Burmese mullet
Batagur trivittata	Burmese roofed turtle
Blarinella wardi	Burmese short-tailed shrew
Rhinopithecus strykeri	Burmese snub-nosed monkey
Megophrys parva	Burmese spadefoot toad
Geochelone platynota	Burmese star tortoise
Raiamas guttatus	Burmese trout
Polypedates mutus	Burmese whipping frog
Notropis asperifrons	burrhead shiner
Pomacentrus burroughi	Burrough's damsel
Centrolene ballux	Burrowes' giant glass frog
Cyanoliseus patagonus	burrowing parakeet
Tursiops australis	Burrunan dolphin
Haplochromis burtoni	Burton's mouthbrooder
Ambassis buruensis	Buru glass perchlet
Speothos venaticus	bush dog
Sylvicapra grimmia	bush duiker
Gymnoris dentata	bush Petronia
Rattus fuscipes	bush rat
Burhinus grallarius	Bush thick-knee
Tragelaphus scriptus	bushbuck
Potamochoerus larvatus	bushpig
Elephantulus intufi	Bushveld elephant shrew
Gerbilliscus leucogaster	Bushveld gerbil
Sekeetamys calurus	bushy-tailed jird
Sundasciurus hoogstraali	Busuanga squirrel
Limnonectes acanthi	Busuanga wart frog
Buteo buteo	Buteo buteo burmanicus
Buteo buteo	Buteo buteo buteo
Buteo buteo	Buteo buteo vulpinus
Buteo japonicus	Buteo japonicus japonicus
Buteo rufinus	Buteo rufinus rufinus
Ompok bimaculatus	butter catfish
Isopsetta isolepis	butter sole
Enteromius hulstaerti	butterfly barb
Gasterochisma melampus	butterfly kingfish
Pentapodus setosus	butterfly whiptail
Amietia desaegeri	Byangolo frog
Pleuronichthys coenosus	C-O sole
Scorpaenichthys marmoratus	cabezon
Mesocapromys angelcabrerai	Cabrera's hutia
Microtus cabrerae	Cabrera's vole
Alsodes barrioi	Cabreria spiny-chest frog
Cacatua pastinator	Cacatua pastinator butleri
Oreobates heterodactylus	Caceres robber frog
Pristimantis achatinus	Cachabi robber frog
Peromyscus eremicus	cactus mouse
Eupsittula cactorum	cactus parakeet
Noturus taylori	Caddo madtom
Hypsugo cadornae	Cadorna's pipistrelle
Pomacentrus caeruleus	caerulean damsel
Trimma caesiura	Caesiura dwarfgoby
Ameerega cainarachi	Cainarachi poison frog
Pristimantis cajamarcensis	Cajamarca robber frog
Arctocebus calabarensis	calabar angwantibo
Thylogale calabyi	Calaby's pademelon
Tupaia moellendorffi	Calamian treeshrew
Pristimantis uranobates	Caldas robber frog
Amphistichus koelzi	calico surfperch
Macrotus californicus	California big-eared bat
Gymnogyps californianus	California condor
Protomyctophum crockeri	California flashlightfish
Paralichthys californicus	California flounder
Leuresthes tenuis	California grunion
Diaphus theta	California headlightfish
Myotis californicus	California Myotis
Callipepla californica	California quail
Raja inornata	California ray
Rana draytonii	California red-legged frog
Zalophus californianus	California sea lion
Batrachoseps attenuatus	California slender salamander
Alepocephalus tenebrosus	California slickhead
Ambystoma californiense	California tiger salamander
Pseudacris cadaverina	California treefrog
Bathycallionymus	Callionymus formosanus
Callionymus incertae sedis	Callionymus izuensis
Bathycallionymus	Callionymus kaianus
Callionymus incertae sedis	Callionymus olidus
Bathycallionymus	Callionymus sokonumeri
Callionymus	Callionymus valenciennei
Callosciurus finlaysonii	Callosciurus finlaysonii frandseni
Thomomys bulbivorus	Camas pocket gopher
Tamiops rodolphii	Cambodian striped squirrel
Xenopus epitropicalis	Cameroon clawed frog
Aphyosemion cameronense	Cameroon killifish
Zenkerella insignis	Cameroon scaly-tail
Coelorinchus kaiyomaru	Campbell whiptail
Phodopus campbelli	Campbell's desert hamster
Istigobius campbelli	Campbell's goby
Cercopithecus campbelli	Campbell's monkey
Incilius campbelli	Campbell's rainforest toad
Campethera caroli	Campethera caroli caroli
Scinax crospedospilus	Campo Belo snouted treefrog
Chaenophryne longiceps	can-opener smoothdream
Branta canadensis	Canada goose
Lynx canadensis	Canada lynx
Cardellina canadensis	Canada warbler
Lycodes polaris	Canadian eelpout
Anaxyrus hemiophrys	Canadian toad
Boana rufitela	Canal Zone treefrog
Hypselobarbus lithopidos	Canara barb
Abudefduf luridus	Canary damselfish
Chrysiptera galba	canary demoiselle
Sebastes pinniger	canary rockfish
Halichoeres chrysus	canary wrasse
Lynchius nebulanastes	Canchaque Andes frog
Pristimantis rhodoplichus	Canchaque robber frog
Awaous flavus	candy cane goby
Etheostoma osburni	candy darter
Trimma cana	candycane pygmy goby
Ostorhinchus endekataenia	candystripe cardinalfish
Aplastodiscus cochranae	canebreak treefrog
Aplastodiscus perviridis	canebreak treefrog
Canis lupus	Canis lupus baileyi
Canis lupus	Canis lupus campestris
Canis lupus	Canis lupus chanco
Canis lupus	Canis lupus desertorum
Canis lupus	Canis lupus dingo
Canis lupus	Canis lupus familiaris
Canis lupus	Canis lupus hodophilax
Canis lupus	Canis lupus laniger
Canis lupus	Canis lupus lupus
Canis lupus	Canis lupus lycaon
Canis lupus	Canis lupus orion
Pelochelys cantorii	Cantor's giant softshell turtle
Hipposideros galeritus	Cantor's roundleaf bat
Arthroleptella lightfooti	Cape chirping frog
Xenopus gilli	Cape clawed frog
Similiparma hermani	Cape damsel
Bathyergus suillus	Cape dune mole-rat
Elephantulus edwardii	Cape elephant shrew
Callorhinchus capensis	Cape elephantfish
Gerbilliscus afra	Cape gerbil
Heleophryne purcelli	Cape ghost frog
Cordylus cordylus	Cape girdled lizard
Chrysochloris asiatica	Cape golden mole
Oplegnathus conwayi	Cape knifejaw
Georychus capensis	Cape mole-rat
Hystrix africaeaustralis	Cape porcupine
Procavia capensis	Cape rock hyrax
Laephotis capensis	Cape serotine
Desmodillus auricularis	Cape short-eared gerbil
Chamaesaura tenuior	Cape snake lizard
Stegastes imbricatus	Cape Verde gregory
Gyps coprotheres	cape vulture
Anomalopus pluto	Cape York worm-skink
Mallotus villosus	capelin
Capoeta capoeta	Capoeta capoeta sevangi
Capreolus pygargus	Capreolus pygargus tianschanicus
Capricornis milneedwardsii	Capricornis milneedwardsii argyrochaetes
Capricornis thar	Capricornis thar jamrachi
Hydrochoerus hydrochaeris	capybara
Bubalus carabanensis	carabao
Pristimantis ockendeni	Carabaya robber frog
Mannophryne vulcano	Caracas collared frog
Girella fimbriata	caramel drummer
Carassius auratus	Carassius auratus 'high back crucian carp'
Carassius auratus	Carassius auratus buergeri
Carassius auratus	Carassius auratus grandoculis
Carassius auratus	Carassius auratus ssp. 'Kinbuna'
Rhaebo colomai	Carchi Andes toad
Pristimantis ocreatus	Carchi robber frog
Paracheirodon axelrodi	cardinal tetra
Apogon imberbis	cardinalfish
Diasporus diastema	Caretta robber frog
Narcine bancroftii	Caribbean electric ray
Carcharhinus perezii	Caribbean reef shark
Eleutherodactylus caribe	Caribbean robber frog
Canthigaster rostrata	Caribbean sharpnose-puffer
Neoglyphidodon carlsoni	Carlson's damselfish
Merops nubicus	carmine bee-eater
Elassoma boehlkei	Carolina pygmy sunfish
Thryothorus ludovicianus	Carolina wren
Pteropus molossinus	Caroline flying fox
Calotomus carolinus	Caroline's parrotfish
Sminthopsis butleri	Carpentarian dunnart
Congrogadus subducens	carpet eel blenny
Liachirus melanospilos	carpet sole
Lophostoma carrikeri	Carriker's round-eared bat
Corvus corone	carrion crow
Pipa carvalhoi	Carvalho's Surinam toad
Dendrophryniscus carvalhoi	Carvalho's tree toad
Callichthys callichthys	cascarudo
Proechimys guairae	casiragua
Pusa caspica	Caspian seal
Salmo caspius	Caspian trout
Haemorhous cassinii	Cassin's finch
Peucaea cassinii	Cassin's Sparrow
Kaloula kokacii	Catanduanes narrow-mouthed frog
Ololygon catharinae	Catharina snouted treefrog
Labeo catla	catla
Catostomus discobolus	Catostomus discobolus yarrowi
Bos taurus	cattle
Bubulcus ibis	cattle egret
Andinobates bombetes	Cauca poison frog
Lyrurus mlokosiewiczi	caucasian grouse
Sciurus anomalus	Caucasian squirrel
Ursus spelaeus	cave bear
Collocalia linchi	cave swiftlet
Litoria cavernicola	cave-dwelling frog
Cavia aperea	Cavia aperea guianae
Osteocephalus leprieurii	Cayenne slender-legged treefrog
Atelopus flavescens	Cayenne stubfoot toad
Thalasseus eurygnatha	Cayenne tern
Ranoidea pearsoniana	Cedar Creek treefrog
Bombycilla cedrorum	cedar waxwing
Leptodactylus chaquensis	Cei's white-lipped frog
Atlantihyla spinipollex	Ceiba stream frog
Macaca nigra	Celebes crested macaque
Prosciurillus murinus	Celebes dwarf squirrel
Thysanophrys celebica	Celebes flathead
Glossogobius celebius	Celebes goby
Anguilla celebesensis	Celebes longfin eel
Oryzias celebensis	Celebes medaka
Telmatherina celebensis	Celebes rainbow
Sus celebensis	Celebes wild boar
Oxycheilinus celebicus	Celebes wrasse
Danio margaritatus	celestial pearl danio
Celeus elegans	Celeus elegans citreopygius
Celeus flavus	Celeus flavus peruvianus
Saimiri oerstedii	Central American squirrel monkey
Physalaemus centralis	central dwarf frog
Chiasmocleis carvalhoi	central humming frog
